apartment_type,bedroom,bathroom,toilet,location,price
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Off Gerard Road, Old Ikoyi, Ikoyi, Lagos",10000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Gerald Road, Old Ikoyi, Ikoyi, Lagos",8500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikota Villa, Ikota, Lekki, Lagos",1200000
1 bedroom flat / apartment for rent,1.0,2.0,2.0,"  Off Wempco Road, Ogba, Ikeja, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Behind Excellence Hotel, Ogba, Ikeja, Lagos",700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Bashorun Gown Majek, Sangotedo, Ajah, Lagos",850000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Victoria Island (VI), Lagos",4000000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Orchid, Lekki Phase 2, Lekki, Lagos",900000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Orchid, Lekki Phase 2, Lekki, Lagos",1400000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Van Daniels Estate, Orchid, Lekki Phase 2, Lekki, Lagos",750000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Osborne Phase 2 Estate, Ikoyi, Lagos",10000000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Van Daniels Estate, Orchid, Lekki Phase 2, Lekki, Lagos",800000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Onikoyi Drive, Royal Garden Estate, Ajah, Lagos",6000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Christ Avenue, Lekki Phase 1, Lekki, Lagos",7000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",6500000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Off Ibidun Street, By Ojuelegba, Surulere, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Admiralty, Lekki Phase 1, Lekki, Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Oniru, Victoria Island (VI), Lagos",7500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",2400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Lekki Phase 1, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Beside Mega Chicken, Ikota, Lekki, Lagos",4320000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Yaba, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Osapa, Lekki, Lagos",3800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ilupeju, Lagos",1500000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Kofo Abayomi, Victoria Island (VI), Lagos",4500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  65 Ajiran Road, Agungi, Lekki, Lagos",2970000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  65 Ajiran Road, Agungi, Lekki, Lagos",930000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Adeniyi Jones, Ikeja, Lagos",4000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Yaba, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Victoria Island (VI), Lagos",5000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Shangisha, GRA Phase 2, Magodo, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Orchid Road, Lekki, Lagos",2100000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Yaba, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Admiralty, Lekki Phase 1, Lekki, Lagos",5000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Toll Gate, Lekki, Lagos",3200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Banana Island, Ikoyi, Lagos",22000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Victoria Island (VI), Lagos",15000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Idado Estate, Idado, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Orchid Road, Lekki Phase 2, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Bourdlion Rd, Ikoyi, Lagos",8000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",8000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",5000000
14 bedroom flat / apartment for rent,14.0,14.0,14.0,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",50000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Osapa, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos",5000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Lbs, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Osapa, Lekki, Lagos",6500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Igbo Efon Road, Lekki, Lagos",2000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",8000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Idado Estate, Lekki, Lagos",3800000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Adebola Ojomu, Aguda, Surulere, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Emmanuel Street, Alapere, Ketu, Lagos",1000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Surulere, Lagos",750000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Oniru, Victoria Island (VI), Lagos",2500000
2 bedroom flat / apartment for rent,2.0,1.0,2.0,"  303 Close Off 3rd Avenue, Banana Island, Ikoyi, Lagos",13000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ajayi Onitiri, Onike, Yaba, Lagos",500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Idado, Lekki, Lagos",500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Sabo, Yaba, Lagos",4000000
1 bedroom flat / apartment for rent,1.0,4.0,4.0,"  Lekki Phase 1, Lekki, Lagos",6000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Yabatech Quarters, Yaba, Lagos",350000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki County Homes, Ikota, Lekki, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Chisco, Ikate, Lekki, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Chisco, Ikate, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  GRA Phase 1, Magodo, Lagos",2000000
5 bedroom flat / apartment for rent,5.0,5.0,6.0,"  Omole Phase 2, Ikeja, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Gated Estate Via Isheri, GRA Phase 1, Magodo, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Olowora, Magodo, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Opic, Isheri North, Lagos",900000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  No 2 Close Georgia Close, Opposite Vgc, Lekki, Lagos",2400000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ologolo, Lekki, Lagos",4000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,1.0,"  Chisco Bus-stop, Kusenla Road, Ikate, Lekki, Lagos",2800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Banana Island Rd, Ikoyi, Lagos",6500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ajah, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",5500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Ikorodu, Lagos",180000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Hamony Estate, Ado, Ajah, Lagos",200000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Victoria Island (VI), Lagos",10000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikoyi, Lagos",15000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Idado, Lekki, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Idado, Lekki, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Idado, Lekki, Lagos",1800000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Idado, Lekki, Lagos",2200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate Elegushi, Lekki, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate Elegushi, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  GRA Phase 2, Magodo, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,4.0,5.0,"  Off Issac John Street, Ikeja GRA, Ikeja, Lagos",8000000
3 bedroom flat / apartment for rent,3.0,4.0,5.0,"  Banana Island, Ikoyi, Lagos",15500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  1004 Estate, Victoria Island (VI), Lagos",8000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Peace Land Estate, Ogombo, Ajah, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Grace Court Estate Lekki Peninsula Scheme 2 Opposite Abraham Adesanya, Lekki, Lagos",2300000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Harmony Estate, Ifako, Gbagada, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,4.0,2.0,"  GRA Phase 2, Magodo, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Alagomeji, Yaba, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ilasan, Lekki, Lagos",1600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Old Ikoyi, Ikoyi, Lagos",13000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ilasan, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Off Fashoro Street,by Western Avenue, Surulere, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Chukwuma Umeh Close Chevy View Estate Chevron, Lekki Expressway, Lekki, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Igbo Efon, Lekki, Lagos",1800000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Close To The Expressway Afar Beach Road, Lekki Expressway, Lekki, Lagos",900000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",7000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Off Lawanson Road, Surulere, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  First Estate, Amuwo Odofin, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Olowora, Magodo, Lagos",3000000
Self contain (single rooms) for rent,1.0,2.0,1.0,"  Lekki, Lagos",3240000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Titilayo Asupoto Street Alpha Beach, Lekki Phase 2, Lekki, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Boundary Estate, Majek, Abijo, Lekki, Lagos",1400000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Near Peaklane Secondary School (oremeji Bus Stop), Ojodu, Lagos",500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Victoria Island (VI), Lagos",17000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  World Oil Road, Ilasan, Lekki, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",6000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Boys Town, Ipaja, Lagos",700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Phase 1, Lekki, Lagos",10000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",16000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Ikate Elegushi, Lekki, Lagos",2800000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Sora Estate New Road Opposite Chevy View Estate, Igbo Efon, Lekki, Lagos",2300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ishaga Road, Via Luth, Surulere, Lagos",450000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Idado, Lekki, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Idado, Lekki, Lagos",1800000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikoyi, Lagos",13000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ogba, Ikeja, Lagos",1800000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Osapa, Lekki, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",6000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Ilasan, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Herbert Macaulay Way, Yaba, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Scheme 2 Pennisula Estate, Abraham Adesanya, Ajah, Lagos",2400000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Alfred Rewane Road, Old Ikoyi, Ikoyi, Lagos",15000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikota, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Within An Estate Off Ogba Road, Ogba, Ikeja, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Herbert Macaulay Way, Yaba, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Opebi, Ikeja, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Banana Island, Ikoyi, Lagos",16500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Goodwill Estate, Alagbole, Ojodu, Lagos",300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",7500000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Abule Ijesha, Yaba, Lagos",1200000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Spg, Ologolo, Lekki, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Jabita Close, Off Onikoyi Road, Ikoyi, Lagos",12000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ogombo, Ajah, Lagos",800000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikota, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Parkview, Ikoyi, Lagos",5000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Parkview, Ikoyi, Lagos",6000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Ikeja GRA, Ikeja, Lagos",20000000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Spg Road, Ologolo, Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",25000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Bashorun Estate Majek, Sangotedo, Ajah, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Bashorun Town Majek, Sangotedo, Ajah, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Harmony Estate, Lakowe, Ibeju Lekki, Lagos",400000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikate, Lekki, Lagos",4000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Estate Within Off College Road, Ogba, Ikeja, Lagos",1000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Old Ikoyi, Ikoyi, Lagos",9500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Limitless Ogunfayo, Ibeju Lekki, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ilaje, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ogombo, Ajah, Lagos",950000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ebute, Ikorodu, Lagos",700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Salem, Ikate, Lekki, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Old Ikoyi, Ikoyi, Lagos",15000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikota, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate, Lekki, Lagos",6000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Orchid Road, Lekki, Lagos",3300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",18000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Balogun Estate, Onosa, Ibeju Lekki, Lagos",350000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",7500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Alpha Beach Road, Before Chevron Roundabout, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",8000000
4 bedroom flat / apartment for rent,4.0,3.0,4.0,"  Badore, Ajah, Lagos",1300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Agungi, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  65 Ajiran Road,, Agungi, Lekki, Lagos",2970000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  65 Ajiran, Agungi, Lekki, Lagos",3720000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  65 Ajiran Road, Agungi, Lekki, Lagos",5760000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Jadeville Estate, Chevron Alternative By Glowfield School, Lekki Expressway, Lekki, Lagos",3500000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Southern View Estate, Lekki Expressway, Lekki, Lagos",1400000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota Villa, Ikota, Lekki, Lagos",2300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",7000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Opic Estate, Isheri North, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,4.0,3.0,"  Banana Island, Ikoyi, Lagos",20000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Bogije, Ibeju Lekki, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Osborne 1, Osborne, Ikoyi, Lagos",7500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",8000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Axis, Lekki, Lagos",4000000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Chevron Alternative, Lekki Phase 2, Lekki, Lagos",900000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Main Vi, Victoria Island (VI), Lagos",30000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Kusenla Road By Chisco Bus Stop, Lekki, Lagos",1200000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Banana Island, Ikoyi, Lagos",40000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ajibose Bus Stop Ishaga Giwa Road At Akin Close, Agege, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikota, Lekki, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,4.0,2.0,"  Cocoon Atlantic, Ajayi Apata Estate, Sangotedo, Ajah, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Freedom Way, Ikate, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Jakande, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Oniru, Victoria Island (VI), Lagos",7000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ebute, Ikorodu, Lagos",800000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Bakare Estate, Agungi, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Ikoyi, Lagos",8500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Off Herbert Macaulay Way,, Yaba, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",12000000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  John Okafor Estate, Agungi, Lekki, Lagos",1000000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  John Okafor Estate, Agungi, Lekki, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Container Road Opposite Green Springs School, Awoyaya, Ibeju Lekki, Lagos",900000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ologolo, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Behind Blenco Supermarket, Olokonla, Ajah, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Close To The Ferry Terminal, Baiyeku, Ikorodu, Lagos",200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Victoria Island Lagos., Victoria Island (VI), Lagos",10000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Badore Rock Garden, Ajah, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Lamgbasa Owode, Ajah, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Green Land, Badore, Ajah, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Remi Olowode, Oniru, Victoria Island (VI), Lagos",9000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  VGC, Lekki, Lagos",1100000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Ikoyi, Lagos",25000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  2nd Toll Gate Orchid Road, Lekki Expressway, Lekki, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Villa Estate, Ikota, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Stone Court Ado, Badore, Ajah, Lagos",1700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Gbara, Jakande, Lekki, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Gbara, Jakande, Lekki, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",11999999
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Lekki County Homes, Ikota, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",30000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Behind Lekki Conservation Centre, Lekki, Lagos",650000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",8000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Bera Estate Beside Chevy View Estate, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Joseph Avenue Estate, Behind Market,, Sangotedo, Ajah, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,3.0,2.0,"  Resettlement Area, Oniru, Victoria Island (VI), Lagos",2500000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Victoria Island (VI), Lagos",8500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Greenbay Estate, By Mobile Road, Ikota, Lekki, Lagos",3000000
Self contain (single rooms) for rent,1.0,1.0,5.0,"  Ora Estate Iragunshi Epe, Epe, Lagos",200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Eleganza Gardens @ Bus Stop, VGC, Lekki, Lagos",2200000
2 bedroom flat / apartment for rent,2.0,5.0,3.0,"  Ikeja GRA, Ikeja, Lagos",9000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",8000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Greenville, Badore, Ajah, Lagos",350000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",6000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Parkview, Ikoyi, Lagos",12000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",18000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Eleganza Gardens, Vgc Bus-stop, Lekki Expressway, Lekki, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Obawole, Ogba, Ikeja, Lagos",500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Victoria Island (VI), Lagos",15000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ekins Estate, Ado, Ajah, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Thomas Estate, Ajiwe, Ajah, Lagos",1700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Canal West Estate, Osapa, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Canaan Estate, Sangotedo, Ajah, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Old Ikoyi, Ikoyi, Lagos",35000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Olowora, Magodo, Lagos",900000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Parkview, Ikoyi, Lagos",12000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ajah Estate, Lekki, Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Abijo, Labora, Ajah, Lagos",900000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Drive, Lekki, Lagos",1800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",16000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",8000000
