apartment_type,bedroom,bathroom,toilet,location,price
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Royal Pine Estate Orchid Road Eleganza Bustop Lekki Lagos, Lekki Phase 2, Lekki, Lagos",2200000
Flat / apartment for rent,1.0,1.0,1.0,"  Orchid Road Eleganza Bustop Lekki Lagos, Lekki Phase 2, Lekki, Lagos",450000
Flat / apartment for rent,1.0,1.0,1.0,"  Orchid Road Eleganza Bustop Lekki Lagos, Lekki Phase 2, Lekki, Lagos",950000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",25000000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Opic Estate, Opic, Isheri North, Lagos",1800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Greenville Estate, Agungi, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Mobil Road, Close To Ilaje Bus Stop Ajah Lagos, Ajah, Lagos",2300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Mobil Road, Close To Ilaje Bus Stop Ajah Lagos, Ajah, Lagos",2100000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  By Jacob Mews, Alagomeji, Yaba, Lagos",900000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Chevron Lekki Lagos Nigeria, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ilasan, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru Estate, Oniru, Victoria Island (VI), Lagos",10000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Victoria Island (VI), Lagos",27000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Chevron Drive Lekki Lagos, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Drive, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Budo Peninsula Estate, Ajiwe, Ajah, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Axis, Lekki, Lagos",4500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Idado, Lekki, Lagos",2200000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Victory Estate, Ogombo Ajah Lagos, Ajah, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikate, Lekki, Lagos",6000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Idado, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Scheme 2 Pennisula Estate, Abraham Adesanya Ajah Lagos, Ajah, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Idado, Lekki, Lagos",1000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Belenco Supermarket Sangotedo, Sangotedo, Ajah, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Dpkay Estate, Orchid Road Eleganza Bustop Lekki Lagos, Lekki Phase 2, Lekki, Lagos",2300000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Badore, Ajah, Lagos",1200000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Meadow View Estate, Ogombo Ajah Lagos, Ajah, Lagos",700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Serene And Secure Compound Agungi Lekki, Agungi, Lekki, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Addo Road, Ajah, Lagos",650000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Badore, Ajah, Lagos",1100000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  In A Secured Estate On Ado Road, Ajah, Lagos",650000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Orchid Road By Van Daniel Estate, Lekki Phase 2, Lekki, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Chevron, Lekki Phase 2, Lekki, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Chevron Alternative Road, Lekki Phase 2, Lekki, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Majek Ajah Lagos, Ajah, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Kayode Aluko, Olukon Close, Lekki, Lagos",2700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Old Ikoyi, Ikoyi, Lagos",30000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Lakowe, Lakowe, Ibeju Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Favoured Height Estate, Second Toll Gate Lekki Conservation Road, Lekki Expressway, Lekki, Lagos",3200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate Lekki Lagos, Ikate, Lekki, Lagos",2800000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Ikota Villa, Lekki, Lagos",2800000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos",4000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Banana Island, Ikoyi, Lagos",25000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Off Freedom Way, Lekki Phase 1, Lekki, Lagos",4500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Orchid Road Off Chevron Toll Gate, Lekki, Lagos",1100000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  GRA Phase 1, Magodo, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,5.0,"  Off Joel Ogunaike Street Gra Ikeja, Ikeja GRA, Ikeja, Lagos",7000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Lambe Street, Ago Palace, Isolo, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Market Square, Ago Palace, Isolo, Lagos",1600000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Thomas Estate, Ajah, Lagos",600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Victoria Island (VI), Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Banana Island, Ikoyi, Lagos",12000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Opebi, Ikeja, Lagos",700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Iragunshin Odomola, Epe, Lagos",200000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Ibeju Lekki Express Way, Epe, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  No 13, Kayode Street Abijo,abiola Close!, Ajah, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Royal Palmwill Estate (remlek), Ajah, Lagos",1100000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island, Victoria Island (VI), Lagos",18000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Peace Land Estate Off Abraham Adesanya Estate Ogombo Ajah, Lekki, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Hopeville Estate, Sangotedo, Ajah, Lagos",1700000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Peace Land Estate Off Abraham Adesanya Estate Ajah, Lekki, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota, Lekki, Lagos",2200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Agidingbi, Ikeja, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikeja GRA, Ikeja, Lagos",6500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Orchid Road Lekki, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevy View Chevron, Lekki, Lagos",5000000
5 bedroom flat / apartment for rent,5.0,6.0,6.0,"  Peace Estate, Oregun, Ikeja Lagos, Oregun, Ikeja, Lagos",5000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Idado, Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Victoria Island (VI), Lagos",15000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Lagos, Idado, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Herbert Macaulay Way, Yaba, Lagos, Yaba, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Cole Street Ikate, Surulere, Lagos",1700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Off Ijesha Express Bus Stop, Ijesha, Surulere, Lagos",800000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Obawole Via Ogba Lagos, Ogba, Ikeja, Lagos",1300000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  By Gbadamosi Bus Stop Off, Ijesha, Surulere, Lagos",900000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Soluyi, Gbagada, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikeja GRA, Ikeja, Lagos",6500000
2 bedroom flat / apartment for rent,2.0,3.0,4.0,"  Badore, Ajah, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Badore, Badore, Ajah, Lagos",900000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",1300000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",1700000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Mini Estate At Onike, Onike, Yaba, Lagos",5000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",900000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Badore, Ajah, Lagos",500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Majek Estate, Sangotedo, Ajah, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Bornoway, Adekunle, Yaba, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikate-lekki, Ikate, Lekki, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Bourdillon, Old Ikoyi, Ikoyi, Lagos",7500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Aguda, Surulere, Lagos",2400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Off Ajayi Road Oke-i, Ogba, Ikeja, Lagos",450000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",6000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Off Ajayi Road Oke-ira Ogba Ikeja Lagos Nigerian, Ogba, Ikeja, Lagos",600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Agungi Lekki, Lekki, Lagos",4500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Peak Park Estate Phase 1, Oribanwa, Ibeju Lekki, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikeja GRA, Ikeja, Lagos",8000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikate, Lekki, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Opebi, Ikeja, Lagos",5500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikeja GRA, Ikeja, Lagos",130000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Opebi, Ikeja, Lagos",5500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikeja GRA, Ikeja, Lagos",130000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikeja GRA, Ikeja, Lagos",8000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikeja GRA, Ikeja, Lagos",8000000
5 bedroom flat / apartment for rent,5.0,5.0,5.0,"  Ikeja GRA, Ikeja, Lagos",30000000
5 bedroom flat / apartment for rent,5.0,5.0,5.0,"  Ikeja GRA, Ikeja, Lagos",30000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Idado Estate, Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,1.0,4.0,"  Divine Queens Court, Jakande, Lekki, Lagos",2160000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Isolo, Lagos",400000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Gardens, Horizon 1. Kusenla Road., Ikate Elegushi, Lekki, Lagos",3000000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Idado Estate, Lekki, Lagos",2300000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Royal Garden Estate, Ajah, Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  A Gated Estate In Isheri, Isolo, Lagos",350000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Royal Garden, Ajah, Lagos",1800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Idado Estate, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ogunfayo, Ibeju Lekki, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikota, Lekki, Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Command Ipaja Lagos, Ipaja, Lagos",400000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Mobil Road, Ilaje, Ajah, Lagos",400000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Off Emmanue Keshi Street, Magodo Gra Phase 2, GRA Phase 2, Magodo, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  65 Ajiran Road, Agungi, Lekki, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Chevron, Lekki, Lagos",770000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Unilag Road, Fola Agoro, Yaba, Lagos",700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Admiralty, Lekki Phase 1, Lekki, Lagos",5000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Yabatech Back Gate, Fola Agoro, Yaba, Lagos",700000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Ogunlana Street Egbeda Lagos, Egbeda, Alimosho, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Serene And Secured Area, Adekunle, Yaba, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Greenville Estate, Badore, Ajah, Lagos",650000
3 bedroom flat / apartment for rent,3.0,2.0,2.0,"  Chevron Drive, Chevy View Estate, Lekki, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Unilag Road, Fola Agoro, Yaba, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Abutu Yaro Street, Through Alasia Off Ajah Sangotedo Road, Oke Ira, Ajah, Lagos",700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Yabatech Back Gate, Fola Agoro, Yaba, Lagos",1300000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Alhaji Ganiu Adeoye Street, Ogombo, Ajah, Lagos",800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi, Lagos",100000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota Villa, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ira Nla, Through Alasia Off Ajah Sangotedo Road, Oke Ira, Ajah, Lagos",650000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Eko Pearl Towers, Eko Atlantic City, Lagos",40000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikota Villa, Lekki, Lagos",1700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Iyana Ipaja, Ipaja, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota, Lekki, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Heritage Home Estate Through Alasia Off Ajah Sangotedo Road, Oke Ira, Ajah, Lagos",450000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",15000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Seaside Estate, Badore, Ajah, Lagos",700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  New Era Anglican Church, Ilasan, Ilasan, Lekki, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,4.0,3.0,"  Dew Avenue, Chois Oasis Estate Abijo, Ajah, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Fola Agoro, Yaba, Lagos",1300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Myca Court 7, Van Daniel Estate Orchid Road Lekki, Lekki Expressway, Lekki, Lagos",900000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Fola Agoro, Yaba, Lagos",700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Victoria Island (VI), Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Oniru, Victoria Island (VI), Lagos",4700000
